"","Darkness-Road Lighted","Darkness-Road Not Lighted","Dawn","Daylight","Dusk","Unknown"
"Angle",23104,11351,3376,118627,4718,411
"Animals",1886,17133,2148,7284,773,68
"Backed Intro",552,272,61,3100,103,66
"Fixed Object in Road",1385,1305,189,2484,112,68
"Fixed Object-off road",12462,31711,3334,57134,2423,349
"Head On",3454,2734,455,8916,496,78
"Other",1891,2402,345,7416,343,116
"Other-Vehicle",262,65,29,1114,51,5
"Pedestrian",1458,922,144,3279,221,29
"Rear End",22452,12845,4086,150049,5404,319
"Sideswipe",7180,4930,1090,33620,1196,307
